,formatted_address,name,place_id,rating,user_ratings_total,Types
0,"Jl. Ronggowarsito No.38, Kp. Baru, Kec. Ps. Kliwon, Kota Surakarta, Jawa Tengah 57131, Indonesia",Saffron Resto & Meatshop,ChIJt7U8K4gWei4RymxgX-AtF7U,4.6,1547,restaurant
10,"Jl. Gajahmada No.42, Timuran, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57131, Indonesia",Alamama Resto,ChIJI2U9sBgXei4RBplRTLe7ikA,4.8,1648,restaurant
11,"Slamet Riyadi St No.111, Kemlayan, Serengan, Surakarta City, Central Java 57151, Indonesia",Kusuma Sari Restaurant & Ice Cream,ChIJjY9OyGMWei4RIPjPIK6har0,4.5,4325,restaurant
12,"Jl. Kalilarangan No.17, Gajahan, Kec. Ps. Kliwon, Kota Surakarta, Jawa Tengah 57155, Indonesia",Bakso Kalilarangan 1,ChIJQQrIU2QWei4ROZ2d2kNy4l8,4.2,205,restaurant
16,"Jl. Gatot Subroto No.50, Kemlayan, Kec. Serengan, Kota Surakarta, Jawa Tengah 57151, Indonesia",Madam Xiang,ChIJDcnBFmMWei4R3H7Xx3jhjlY,4.4,433,restaurant
17,"Jl. Diponegoro No.34-54, Keprabon, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57131, Indonesia",Omah Sinten Heritage Hotel & Resto,ChIJn7_cf2IWei4RTgzkD_iBsqA,4.4,615,lodging
18,"Jl. Yos Sudarso No.172, Jayengan, Kec. Serengan, Kota Surakarta, Jawa Tengah 57151, Indonesia",Dapur Asli Solo,ChIJCRWsCGUWei4R-ek_WkKtRrc,4.5,335,restaurant
19,"Jl. Dr. Rajiman No.53, Gajahan, Kec. Ps. Kliwon, Kota Surakarta, Jawa Tengah 57133, Indonesia",Mr. Hiroshi Ramen - Takoyaki,ChIJqVqmz4oXei4RfBVOeBDC4kk,4.7,240,restaurant
20,"Jl. Yos Sudarso, Jayengan, Kec. Serengan, Kota Surakarta, Jawa Tengah 57152, Indonesia",Nasi Liwet Bu Waris,ChIJfTEMVmQWei4RYARyEqAU3QA,4.7,200,restaurant
26,"Jl. Kebangkitan Nasional No.31, Sriwedari, Kec. Laweyan, Kota Surakarta, Jawa Tengah 57141, Indonesia",Par Four Cafe,ChIJDbY2230Wei4R9K4YAcfbd-0,4.7,457,restaurant
27,"Jl. Yos Sudarso No.55B, Kauman, Kec. Ps. Kliwon, Kota Surakarta, Jawa Tengah 57151, Indonesia",Sate Ayam Pak Syam,ChIJoVQNdmQWei4Rbz1tD1Ewar0,4.7,151,restaurant
28,"Jl. Ronggowarsito No.97, Keprabon, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57131, Indonesia",Cafe Tiga Ceret,ChIJBytXZygUei4RBOZ4K3dAUm4,4.3,6435,restaurant
30,"Slamet Riyadi St, Keprabon, Banjarsari, Surakarta City, Central Java 57131, Indonesia",KFC,ChIJXUv82-0Xei4RPIMtAw8P1hQ,4.5,2721,cafe
32,"Jalan Yos Sudarso No.241, Kratonan, Gajahan, Kec. Ps. Kliwon, Kota Surakarta, Jawa Tengah 57151, Indonesia",Bu Parmi's Nasi Liwet & Cabuk Rambak,ChIJuwduym8Wei4RxNKCU1nQE6A,4.6,1148,restaurant
33,"CR9C+4CH, Jl. Veteran, Gajahan, Kec. Ps. Kliwon, Kota Surakarta, Jawa Tengah 57156, Indonesia",Nasi Liwet Yu Sani Gemblegan,ChIJ689DPm4Wei4Rt3aJAx6bLVw,4.5,1781,restaurant
34,"Jl. Dr. Rajiman No.327, Panularan, Kec. Laweyan, Kota Surakarta, Jawa Tengah 57149, Indonesia",Garden Resto,ChIJu1lZ-n4Wei4RBn0uZHGjCoU,4.4,674,restaurant
35,"Jl. Yos Sudarso No.212, Kratonan, Kec. Serengan, Kota Surakarta, Jawa Tengah 57153, Indonesia",Warung Bestik Pak Pur,ChIJOS_Oh28Wei4RO01bl8Bk4bE,4.5,455,restaurant
40,"Slamet Riyadi St No.271, Sriwedari, Laweyan, Surakarta City, Central Java 57141, Indonesia",RODA DIMSUM & CHINESE FOOD,ChIJs2BvWYcWei4RmezWotRf2WI,4.2,145,restaurant
42,"Jl. Gajahmada No.48, Timuran, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57131, Indonesia",Mr Petruk Seafood Restaurant,ChIJGyzGSoYWei4RuzIFTeI1kNs,4.4,1619,restaurant
43,"Jl. Dr. Rajiman No.525, Laweyan, Kec. Laweyan, Kota Surakarta, Jawa Tengah 57148, Indonesia",Canting Londo Kitchen,ChIJ-1E5CtoVei4RrHHxDr3RmCE,4.5,724,restaurant
44,"Jl. Ronggowarsito No.38, Kp. Baru, Kec. Ps. Kliwon, Kota Surakarta, Jawa Tengah 57131, Indonesia",Saffron Resto & Meatshop,ChIJt7U8K4gWei4RymxgX-AtF7U,4.6,1547,restaurant
52,"Slamet Riyadi St, Keprabon, Banjarsari, Surakarta City, Central Java 57131, Indonesia",KFC,ChIJXUv82-0Xei4RPIMtAw8P1hQ,4.5,2721,cafe
54,"Jalan Yos Sudarso No.241, Kratonan, Gajahan, Kec. Ps. Kliwon, Kota Surakarta, Jawa Tengah 57151, Indonesia",Bu Parmi's Nasi Liwet & Cabuk Rambak,ChIJuwduym8Wei4RxNKCU1nQE6A,4.6,1148,restaurant
55,"CR9C+4CH, Jl. Veteran, Gajahan, Kec. Ps. Kliwon, Kota Surakarta, Jawa Tengah 57156, Indonesia",Nasi Liwet Yu Sani Gemblegan,ChIJ689DPm4Wei4Rt3aJAx6bLVw,4.5,1781,restaurant
56,"Jl. Ronggowarsito No.38, Kp. Baru, Kec. Ps. Kliwon, Kota Surakarta, Jawa Tengah 57131, Indonesia",Saffron Resto & Meatshop,ChIJt7U8K4gWei4RymxgX-AtF7U,4.6,1547,restaurant
61,"Jl. Gajahmada No.42, Timuran, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57131, Indonesia",Alamama Resto,ChIJI2U9sBgXei4RBplRTLe7ikA,4.8,1648,restaurant
62,"Slamet Riyadi St No.111, Kemlayan, Serengan, Surakarta City, Central Java 57151, Indonesia",Kusuma Sari Restaurant & Ice Cream,ChIJjY9OyGMWei4RIPjPIK6har0,4.5,4325,restaurant
63,"Jl. Antariksa II, Jebres, Kec. Jebres, Kota Surakarta, Jawa Tengah 57126, Indonesia",Arjes Kitchen,ChIJ_dlAsgQXei4RR5vIE4TULdY,4.4,4417,restaurant
67,"Jl. Diponegoro No.34-54, Keprabon, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57131, Indonesia",Omah Sinten Heritage Hotel & Resto,ChIJn7_cf2IWei4RTgzkD_iBsqA,4.4,615,lodging
69,"Jl. MT Haryono No.11, Manahan, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57139, Indonesia",Che-eS Resto,ChIJO4M9pJ4Wei4ReKdX96a_gV8,4.3,1239,restaurant
70,"Jl. Menteri Supeno No.3, Manahan, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57139, Indonesia",Goela Klapa Authentic Indonesian Cuisine,ChIJ_aNnRiMUei4Rs1StgU0yZlY,4.2,1077,restaurant
71,"Slamet Riyadi St No.261, Sriwedari, Laweyan, Surakarta City, Central Java 57141, Indonesia",The Soga Eatery,ChIJCcKeUPcUei4RhlVu4cddSH4,4.4,532,restaurant
72,"Jl. Kapten Mulyadi No.29, Sudiroprajan, Kec. Jebres, Kota Surakarta, Jawa Tengah 57121, Indonesia",Fai Kie Chinese Restaurant,ChIJGQQnkV8Wei4R9sCPiqipBbQ,4.4,856,restaurant
73,"Jl. Jend. Urip Sumoharjo No.94, Purwodiningratan, Kec. Jebres, Kota Surakarta, Jawa Tengah 57128, Indonesia",Timlo Solo Restaurant,ChIJhwAPVfQWei4Ryz2o6nCgLdE,4.3,3195,restaurant
74,"Jl. Arifin No.59, Kepatihan Wetan, Kec. Jebres, Kota Surakarta, Jawa Tengah 57129, Indonesia",Nini Thowong Restaurant,ChIJNf5-sYwWei4RhPyRXjeuiV4,4.3,4424,restaurant
75,"Jl. Gatot Subroto No.50, Kemlayan, Kec. Serengan, Kota Surakarta, Jawa Tengah 57151, Indonesia",Madam Xiang,ChIJDcnBFmMWei4R3H7Xx3jhjlY,4.4,433,restaurant
76,"Slamet Riyadi St No.183, Kemlayan, Serengan, Surakarta City, Central Java 57151, Indonesia",Solo's Bistro,ChIJJahH0GIWei4R_0w7oi61zZg,4.5,4086,restaurant
77,"Jl. Prof. DR. Supomo No.55, Mangkubumen, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57139, Indonesia",Pecel Solo,ChIJo5l9F4QWei4RXbHWfWvSLdM,4.3,1624,restaurant
78,"Jl. Ronggowarsito No.163, Timuran, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57131, Indonesia",Kadipolo Meatball,ChIJdfgeAIcWei4RMsO7mYQp5ro,4.4,2948,restaurant
80,"Jl. Dr. Rajiman No.525, Laweyan, Kec. Laweyan, Kota Surakarta, Jawa Tengah 57148, Indonesia",Canting Londo Kitchen,ChIJ-1E5CtoVei4RrHHxDr3RmCE,4.5,725,restaurant
82,"Jl. Gajahmada No.87, Punggawan, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57132, Indonesia",Canton Restaurant,ChIJqXh5h48Wei4RHkqTGuqOogk,4.4,475,restaurant
84,"Jl. Antariksa II, Jebres, Kec. Jebres, Kota Surakarta, Jawa Tengah 57126, Indonesia",Arjes Kitchen,ChIJ_dlAsgQXei4RR5vIE4TULdY,4.4,4417,restaurant
86,"Jl. Ronggowarsito No.38, Kp. Baru, Kec. Ps. Kliwon, Kota Surakarta, Jawa Tengah 57131, Indonesia",Saffron Resto & Meatshop,ChIJt7U8K4gWei4RymxgX-AtF7U,4.6,1548,restaurant
88,"Jl. Gajahmada No.42, Timuran, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57131, Indonesia",Alamama Resto,ChIJI2U9sBgXei4RBplRTLe7ikA,4.8,1650,restaurant
90,"Jl. Kebangkitan Nasional No.31, Sriwedari, Kec. Laweyan, Kota Surakarta, Jawa Tengah 57141, Indonesia",Par Four Cafe,ChIJDbY2230Wei4R9K4YAcfbd-0,4.7,457,restaurant
91,"Jl. Diponegoro No.34-54, Keprabon, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57131, Indonesia",Omah Sinten Heritage Hotel & Resto,ChIJn7_cf2IWei4RTgzkD_iBsqA,4.4,615,lodging
93,"Jl. MT Haryono No.11, Manahan, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57139, Indonesia",Che-eS Resto,ChIJO4M9pJ4Wei4ReKdX96a_gV8,4.3,1239,restaurant
94,"Jl. Menteri Supeno No.3, Manahan, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57139, Indonesia",Goela Klapa Authentic Indonesian Cuisine,ChIJ_aNnRiMUei4Rs1StgU0yZlY,4.2,1077,restaurant
95,"Slamet Riyadi St No.261, Sriwedari, Laweyan, Surakarta City, Central Java 57141, Indonesia",The Soga Eatery,ChIJCcKeUPcUei4RhlVu4cddSH4,4.4,532,restaurant
97,"Jl. Kapten Mulyadi No.29, Sudiroprajan, Kec. Jebres, Kota Surakarta, Jawa Tengah 57121, Indonesia",Fai Kie Chinese Restaurant,ChIJGQQnkV8Wei4R9sCPiqipBbQ,4.4,856,restaurant
98,"Jl. A. Yani No.11, Tegalharjo, Kec. Jebres, Kota Surakarta, Jawa Tengah 57128, Indonesia",Wedangan Solo Jebres,ChIJveU-s_MWei4RUjBuctcGyk8,4.3,175,restaurant
99,"Jl. Jend. Urip Sumoharjo No.94, Purwodiningratan, Kec. Jebres, Kota Surakarta, Jawa Tengah 57128, Indonesia",Timlo Solo Restaurant,ChIJhwAPVfQWei4Ryz2o6nCgLdE,4.3,3195,restaurant
101,"Jl. Arifin No.59, Kepatihan Wetan, Kec. Jebres, Kota Surakarta, Jawa Tengah 57129, Indonesia",Nini Thowong Restaurant,ChIJNf5-sYwWei4RhPyRXjeuiV4,4.3,4424,restaurant
102,"Jl. Gatot Subroto No.50, Kemlayan, Kec. Serengan, Kota Surakarta, Jawa Tengah 57151, Indonesia",Madam Xiang,ChIJDcnBFmMWei4R3H7Xx3jhjlY,4.4,433,restaurant
103,"Slamet Riyadi St No.111, Kemlayan, Serengan, Surakarta City, Central Java 57151, Indonesia",Kusuma Sari Restaurant & Ice Cream,ChIJjY9OyGMWei4RIPjPIK6har0,4.5,4326,restaurant
104,"Slamet Riyadi St No.183, Kemlayan, Serengan, Surakarta City, Central Java 57151, Indonesia",Solo's Bistro,ChIJJahH0GIWei4R_0w7oi61zZg,4.5,4086,restaurant
105,"Jl. Prof. DR. Supomo No.55, Mangkubumen, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57139, Indonesia",Pecel Solo,ChIJo5l9F4QWei4RXbHWfWvSLdM,4.3,1624,restaurant
106,"Jl. Ronggowarsito No.163, Timuran, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57131, Indonesia",Kadipolo Meatball,ChIJdfgeAIcWei4RMsO7mYQp5ro,4.4,2948,restaurant
108,"Jl. Ronggowarsito No.97, Keprabon, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57131, Indonesia",Cafe Tiga Ceret,ChIJBytXZygUei4RBOZ4K3dAUm4,4.3,6439,restaurant
109,"Jl. Dr. Rajiman No.525, Laweyan, Kec. Laweyan, Kota Surakarta, Jawa Tengah 57148, Indonesia",Canting Londo Kitchen,ChIJ-1E5CtoVei4RrHHxDr3RmCE,4.5,725,restaurant
110,"Jl. Gajahmada No.87, Punggawan, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57132, Indonesia",Canton Restaurant,ChIJqXh5h48Wei4RHkqTGuqOogk,4.4,475,restaurant
111,"Kp. Baru, Ps. Kliwon, Jl. Imam Bonjol No.49-51, Keprabon, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57131, Indonesia",Ramayana Indonesian Restaurant,ChIJTTbeD2IWei4RF14x5u0hRR0,4.2,915,restaurant
112,"Jl. Teuku Umar No.6, Keprabon, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57131, Indonesia",Tirai Bamboe Restaurant,ChIJ8UNlsocWei4R_IK0dh42l9s,4.4,1982,restaurant
115,"Jl. Abdul Muis No.14, Kepatihan Kulon, Kec. Jebres, Kota Surakarta, Jawa Tengah 57139, Indonesia",RM Blengerr,ChIJZ7hCQWIWei4RKeinTHfEHsI,4.4,1498,restaurant
116,"Jl. Abdul Muis No.21, Kepatihan Kulon, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57139, Indonesia",XinXin Restaurant,ChIJ42QHQosWei4RJunlMw117sU,4.5,805,restaurant
117,"Jl. Dr. Rajiman No.327, Panularan, Kec. Laweyan, Kota Surakarta, Jawa Tengah 57149, Indonesia",Garden Resto,ChIJu1lZ-n4Wei4RBn0uZHGjCoU,4.4,674,restaurant
118,"Jl. Sutan Syahrir No.126, Setabelan, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57129, Indonesia",Kafe Star Restaurant,ChIJQxe4vIsWei4RP-ycESA8zz0,4.4,365,restaurant
119,"Jl. Ronggowarsito No.55a, Kp. Baru, Kec. Ps. Kliwon, Kota Surakarta, Jawa Tengah 57133, Indonesia",Palm Ethnic Resto,ChIJX_aOu7cXei4RAAWeLTbcWsE,4.2,650,restaurant
120,"Jl. Utara Pasar Besar No.48, Kepatihan Wetan, Kec. Jebres, Kota Surakarta, Jawa Tengah 57129, Indonesia",Vipho9 Restaurant,ChIJnQ0yw2wXei4RFcAiw6-Vjyg,4.5,135,restaurant
122,"Slamet Riyadi St No.271, Sriwedari, Laweyan, Surakarta City, Central Java 57141, Indonesia",RODA DIMSUM & CHINESE FOOD,ChIJs2BvWYcWei4RmezWotRf2WI,4.2,145,restaurant
123,"Slamet Riyadi St No.81, Kauman, Pasar Kliwon, Surakarta City, Central Java 57122, Indonesia",Jinju Korean Eatery,ChIJp84m9QkXei4ROK1PUNa36vs,4.5,1250,restaurant
